Time,Protocol,Length,Anomaly
185.724948,4,356,-1
185.724948,4,356,-1
185.726498,4,692,-1
185.756076,4,356,-1
185.756076,4,356,-1
185.756076,4,356,-1
185.836782,4,808,-1
185.836782,4,808,-1
185.836782,4,808,-1
186.143483,2,86,-1
186.151916,2,80,-1
186.178899,2,77,-1
186.182959,2,190,-1
186.20606,2,177,-1
186.216372,2,80,-1
186.250749,2,91,-1
186.254667,2,267,-1
186.3164,2,138,-1
188.423344,1,364,-1
188.423344,0,42,-1
188.526963,0,42,-1
188.577582,2,70,-1
188.580902,2,86,-1
188.626593,0,42,-1
188.679025,0,42,-1
189.548826,0,42,-1
190.573519,0,42,-1
190.67508,0,42,-1
191.173157,2,80,-1
191.176636,2,96,-1
191.326677,2,80,-1
191.330655,2,409,-1
191.599119,0,42,-1
191.698651,0,42,-1
192.722724,0,42,-1
194.665584,0,42,-1
194.670363,0,42,-1
194.974841,0,42,-1
195.693444,0,42,-1
195.693444,0,42,-1
196.716043,0,42,-1
196.716043,0,42,-1
201.406561,2,80,-1
201.41025,2,126,-1
203.780384,0,42,-1
206.547943,8,672,-1
210.745023,0,42,-1
210.745023,0,42,-1
211.136664,0,42,-1
211.604488,0,42,-1
211.620946,0,42,-1
211.620968,0,42,-1
211.666487,0,42,-1
212.690526,0,42,-1
221.657512,0,42,-1
222.72378,0,42,-1
222.726147,0,42,-1
223.749974,0,42,-1
223.749974,0,42,-1
224.671686,0,42,-1
226.720035,0,42,-1
226.720035,0,42,-1
227.744317,0,42,-1
227.744317,0,42,-1
228.665532,0,42,-1
228.665532,0,42,-1
230.713367,0,42,-1
231.715335,2,76,-1
231.723465,2,85,-1
231.726133,2,151,-1
231.737435,0,42,-1
231.781523,2,76,-1
231.819728,2,183,-1
231.96102,2,88,-1
231.961317,2,86,-1
232.012091,2,102,-1
232.030025,2,88,-1
232.097338,2,104,-1
232.549456,2,87,-1
232.552552,2,103,-1
232.658792,0,42,-1
232.739698,4,356,-1
232.739835,4,356,-1
232.739835,4,356,-1
232.74056,4,692,-1
232.779432,4,356,-1
232.779547,4,356,-1
232.779547,4,356,-1
232.859641,4,808,-1
232.859641,4,808,-1
232.861998,4,808,-1
234.795759,2,75,-1
234.858173,2,75,-1
234.861602,2,182,-1
235.797993,2,75,-1
235.801054,2,210,-1
236.651798,2,88,-1
236.652106,2,90,-1
236.655236,2,106,-1
236.655914,2,104,-1
237.017183,2,101,-1
237.068253,2,250,-1
237.396088,4,356,-1
237.396151,4,356,-1
237.396151,4,356,-1
237.39784,4,689,-1
237.443481,4,356,-1
237.443849,4,356,-1
237.443849,4,356,-1
237.504055,4,808,-1
237.504055,4,808,-1
237.504055,4,808,-1
238.250314,2,77,-1
238.253766,2,135,-1
238.568018,2,88,-1
238.568268,2,90,-1
238.570991,2,104,-1
238.571817,2,106,-1
239.298343,4,356,-1
239.298343,4,356,-1
239.298495,4,356,-1
239.302026,4,690,-1
239.346187,4,356,-1
239.346392,4,356,-1
239.346428,4,356,-1
239.418232,4,808,-1
239.418329,4,808,-1
239.418329,4,808,-1
241.526284,2,88,-1
241.526284,2,90,-1
241.529964,2,106,-1
241.53009,2,104,-1
